txn_date,merchant,value,category
5-2-2026,DIAGEO,1224.33,Food
2026-04-03,Sky,459.06,Soft Drinks
6-1-2026,E.ON,945.84,Utilities
1-4-2026,Booker Wholesale,1440.40,
2-3-2026,Heineken UK,1317.28,
4/3/2026,Local Bakery,472.92,Soft Drinks
2026-01-12,Sky,1427.92,
2026-01-06,Local Butcher,£358.06,Supplies
6-3-2026,Diageo Ltd,£291.64,
29-3-2026,BritishGas,1335.20,Soft Drinks
2/11/2026,Sky Business,1357.15,Supplies
11-2-2026,Cleaning Supplies Co,768.76,Utilities
7-4-2026,cleaning supplies co,1516.63,
2026-01-02,JJ FOOD SERVICE,333.61,Alcohol
1/18/2026,bt,£1252.48,Alcohol
16-4-2026,j j food,-1212.95,
2/26/2026,JJ FOOD SERVICE,1260.13,Soft Drinks
2026-02-01,LOCAL BUTCHER,1296.07,Supplies
3/30/2026,Diageo Ltd,£781,88,
23-3-2026,Booker Wholesale,77,02,
19-3-2026,BRAKES UK,630.63,
17-3-2026,EON,682.90,
3/2/2026,JJ FOOD SERVICE,£590.35,
2026-03-21,booker,£1132.70,
1/10/2026,HEINEKEN,452.01,
27-2-2026,AMAZON UK,£512.39,
2/25/2026,SCOTTISH WATER,£1029.88,Utilities
16/04/2026,Heineken UK Ltd,994.10,Utilities
29-4-2026,Local Butcher,1348.16,
2026-02-06,BRAKES UK,122.07,
1/22/2026,BT PLC,-1442.34,Soft Drinks
2026-01-14,Scottish Water,771.04,Alcohol
24/03/2026,SCOTTISH WATER,1197.90,Soft Drinks
28/03/2026,Amazon Business,1290.12,Alcohol
2026-04-14,booker ltd,566.85
04/01/2026,Coca Cola Europacific,559.18
18-2-2026,J J Food,£1264.87,
2026-01-24,Brakes,504.14,
1/24/2026,J J Food,1194.30,
04/03/2026,BAKERY CO,1153.05,Soft Drinks
2/28/2026,Booker Ltd,£1403.48,Alcohol
3-1-2026,AMAZON UK,-498.50
2026-01-10,British Gas,787.52,Alcohol
2026-01-12,JJ FOOD SERVICE,-986.62,Alcohol
28-4-2026,Local Bakery,896,17,Alcohol
19/03/2026,EON Energy,-237.98,Food
2026-01-04,sky,880.22,
2026-03-29,BritishGas,1452.10,Alcohol
28-1-2026,Heineken UK,558.83,Utilities
29-3-2026,E.ON,1158.73,
8-4-2026,BT,1086.19,Utilities
06/01/2026,E.ON,£352.38,Supplies
4/15/2026,JJ FOOD SERVICE,1019,92,
2026-03-04,DIAGEO,1323.44,
25-4-2026,BT Business,1479.71,Alcohol
2026-03-17,COCA-COLA EUROPACIFIC,698.50,Food
14/03/2026,The Local Butcher,423.55,
12-4-2026,BRITISH GAS,63.01,
2026-03-20,Heineken UK Ltd,464.49,Food
10/04/2026,Booker Wholesale,898.22,Food
2026-04-01,Local Bakery,1146.83,Supplies
2026-01-06,Amazon,166.22,Food
2026-02-11,BOOKER LTD,1090.62,Food
1/20/2026,booker ltd,1068.51
29/01/2026,EON Energy,1471.27,Food
1/12/2026,e.on,1137.27,Food
4/3/2026,JJ FOOD SERVICE,457.96,Food
2/18/2026,BritishGas,242.25,
12-3-2026,Diageo,177.78,Supplies
2/3/2026,Sky Business,1393.73,Alcohol
16/04/2026,BT,496.17,Soft Drinks
12/02/2026,BOOKER,£861.92,Soft Drinks
2026-01-28,Cleaning Supplies Co,605.83,Utilities
6-1-2026,Amazon,313.98,
2026-01-31,BT PLC,635,79,Food
1/3/2026,BRITISH GAS,-243.23,Alcohol
22-1-2026,EON,1485.19,Supplies
4/11/2026,Diageo Ltd,1132.64,
21/03/2026,Booker Ltd,677.62,Alcohol
2026-04-21,Brakes Catering,1224.99,Supplies
4/12/2026,amazon uk,787.22,Food
3/18/2026,Sky,£484,64,Soft Drinks
1/5/2026,eon energy,£413.78
25-2-2026,EON Energy,417,49,Supplies
24-4-2026,SCOTTISH WATER,1056.29,Supplies
2026-04-26,British Gas,£534.55,Soft Drinks
6-1-2026,Diageo,1116.98,Soft Drinks
22/01/2026,BRAKES UK,884,49,
3/10/2026,Coca Cola,388.72,Alcohol
5-2-2026,diageo,1491.18,Food
17/04/2026,Diageo,956.56,
26/03/2026,SKY,287.90,Soft Drinks
3/26/2026,the local butcher,1376,09,Food
25-1-2026,BOOKER,220.44,Food
2026-04-28,british gas,£447.20,
15-3-2026,JJ Food Service,448.74,Food
14/01/2026,COCA COLA,1471.68,Soft Drinks
1/15/2026,Diageo,662,84,Alcohol
09/02/2026,SCOTTISH WATER,1177.06,Alcohol
2/2/2026,JJ Food Service,86.41,Utilities
1/9/2026,EON Energy,462.60,
27-1-2026,BritishGas,470.79,Utilities
23/04/2026,JJ Food Service,1457.03,Supplies
21/02/2026,BOOKER,869.85,
2026-03-20,Coca Cola Europacific,966.80,Supplies
4/14/2026,British Gas,£963.86,Soft Drinks
2026-01-31,BT PLC,£518.55,Utilities
4/29/2026,BRITISH GAS,582.87,Supplies
8-4-2026,CLEANING SUPPLIES CO,620.46,
3/16/2026,AMAZON UK,634.01,
4/20/2026,CleanCo,1471.03,Supplies
2026-01-13,Sky Business,£1073.25
23/02/2026,Diageo Ltd,1049.82,Soft Drinks
10-3-2026,Scottish Water,887.91,Alcohol
2026-04-20,BRITISH GAS,1335.41,Food
2026-01-09,Booker Wholesale,752.73,Soft Drinks
1/7/2026,British Gas,1059.94,Utilities
2026-01-21,BT Business,297.13,Supplies
16/02/2026,Cleaning Supplies Co,£975.71,Utilities
10/04/2026,heineken uk,£1120.44
19/02/2026,Amazon,149.56,Food
4/15/2026,The Local Butcher,751,70,Soft Drinks
1/27/2026,Sky Business,1420.98,
2/7/2026,BRITISH GAS,-1518.86,Alcohol
2026-02-01,Diageo,646,56,Supplies
04/03/2026,Diageo Ltd,759.67,Food
28/04/2026,J J Food,354.93
19-1-2026,BRITISH GAS,1385.11
1-1-2026,JJ Food Service,1526.00,Food
3/9/2026,BRAKES UK,£943.07,Alcohol
2026-01-05,Sky,111.90,
07/03/2026,eon,-1334.10,Alcohol
2026-03-21,AMAZON UK,1516.90,Food
27/02/2026,BRITISH GAS,873.46,Alcohol
2026-02-05,E.ON,209.10,
14-3-2026,Scottish Water,794.10,Supplies
27-2-2026,HEINEKEN,£1509.92,Food
11/04/2026,Diageo Ltd,£967.18
2026-01-08,Heineken UK,803.51,
22/04/2026,BT,£1007,04
3/10/2026,BT Business,612.02,Supplies
2026-02-02,Booker Wholesale,1343.83,
17/01/2026,local bakery,180.76,Supplies
10/04/2026,HEINEKEN,£1011.07,Alcohol
29-3-2026,HEINEKEN UK LTD,1496.84,Utilities
19/03/2026,bt,503.51,Soft Drinks
4/13/2026,HEINEKEN,404.19,
2026-02-17,BT,£190.46,Food
3-3-2026,E.ON,1482.68,Soft Drinks
3/4/2026,DIAGEO LIMITED,455.95,Food
1/15/2026,Bakery Co,476.90,Alcohol
2026-04-14,Brakes Catering,394.92,Supplies
1/9/2026,bt business,98.81,Utilities
1/9/2026,Bakery Co,-1465.74,Food
6-3-2026,CleanCo,£1490.44,
4/4/2026,BT,£959.23,
11-2-2026,J J Food,639.90,Alcohol
29/01/2026,Coca Cola Europacific,£296.51,Supplies
2/15/2026,COCA-COLA EUROPACIFIC,£161.48,Supplies
29-3-2026,British Gas,£278.19,Alcohol
28/04/2026,Coca Cola Europacific,1419.48,Supplies
3/6/2026,Amazon Business,798.29
2/1/2026,Cleaning Supplies Co,£1341.45,Utilities
1/18/2026,Brakes,549.46,Food
31-3-2026,Brakes Catering,385.91,
1/14/2026,Brakes Catering,-513,52
11-4-2026,Diageo Ltd,£1293.91,Alcohol
4/4/2026,BT PLC,483.12,Supplies
25/03/2026,Scottish Water,1417.75,Food
3/26/2026,Bakery Co,1094.84,
4-3-2026,Heineken UK Ltd,210,09,Utilities
2/4/2026,heineken uk ltd,964,33,
29-4-2026,Amazon,1341.02,Utilities
3/16/2026,Booker Wholesale,928.40
1-2-2026,british gas,1001.13,
2026-02-02,BT,252.43,Soft Drinks
2/12/2026,COCA-COLA EUROPACIFIC,460.42,Food
1/12/2026,BT,106.37,Soft Drinks
7-4-2026,Booker Wholesale,115,77,Supplies
9-1-2026,Cleaning Supplies Co,£639.94,Utilities
3/16/2026,E.ON,819.86,Utilities
2026-03-17,British Gas,763.56,
3/23/2026,COCA-COLA EUROPACIFIC,430.38,Food
2/10/2026,CleanCo,1397.80,Food
19-2-2026,JJ Food Service,1503,44,Soft Drinks
3/20/2026,AMAZON,-1164.88
06/01/2026,Cleaning Supplies Co,303,09,
2026-02-20,BritishGas,£252.25,Utilities
3/21/2026,Bakery Co,868.93,
2/18/2026,J J Food,1214.51,
10-3-2026,BRAKES UK,£921.89,
2026-04-18,j j food,100.45,
3/30/2026,Heineken UK,£1061.62,
2/25/2026,Booker Ltd,1184.68,
08/04/2026,Booker Wholesale,475.65,Food
2026-03-05,Coca Cola Europacific,586.77,
2026-02-09,AMAZON BUSINESS,817.16,Supplies
2026-04-15,CleanCo,645.30,Alcohol
08/04/2026,JJ Food Service,655.23,Soft Drinks
2026-02-28,J J Food,228.33,Utilities
2/14/2026,HEINEKEN,1211.50,
3/30/2026,BritishGas,1249.41,Food
3/5/2026,Heineken UK Ltd,291.21,
7-2-2026,Scottish Water,-£1284.02
13/02/2026,DIAGEO LIMITED,968.00,Soft Drinks
31/03/2026,Booker Wholesale,1510.91,Utilities
28/03/2026,AMAZON UK,761.67,Alcohol
08/03/2026,JJ FOOD SERVICE,£1360.68,Soft Drinks
2/9/2026,Sky,1481.00,Supplies
2026-01-14,E.ON,£581,91,Soft Drinks
10/02/2026,JJ Food Service,976.38,
19-1-2026,JJ Food Service,£529.10
2026-01-07,BT,£1510.03,Food
25/01/2026,Brakes Catering,351.02,
2026-02-10,Amazon,£128.60,Food
09/01/2026,SCOTTISH WATER,320.87,Soft Drinks
29-4-2026,Cleaning Supplies Co,1238.61,Supplies
13/04/2026,Amazon,£382.61,Alcohol
29/04/2026,JJ Food Service,859.16,
5-4-2026,E.ON,£173,15,
07/04/2026,HEINEKEN UK,1340.07,
2026-03-02,AMAZON,138.02,
3/26/2026,Brakes,97.31,
2026-01-01,Diageo,248.49,Utilities
11/04/2026,JJ FOOD SERVICE,1442.85,Utilities
21/03/2026,DIAGEO,1192.03,Utilities
2-1-2026,E.ON,181.19,Food
12-4-2026,CleanCo,1393.09,Utilities
7-3-2026,AMAZON,-738.64,
19-3-2026,BT,1457.39,Alcohol
3/2/2026,BritishGas,123.39,Soft Drinks
11-2-2026,Booker Wholesale,£623.81,
20-1-2026,COCA-COLA EUROPACIFIC,187.18,Utilities
2026-02-18,Booker Ltd,1251.96,Supplies
19-1-2026,Diageo Ltd,1135.26,Food
2026-01-02,Brakes,474.15,
23/03/2026,jj food service,1021.78,Alcohol
6-3-2026,Scottish Water,993.21,Utilities
08/02/2026,Booker Ltd,498.73,
1/24/2026,british gas,1442.94,Utilities
4/20/2026,brakes catering,681.61,Soft Drinks
2026-01-27,CleanCo,£115.03,Alcohol
9-1-2026,COCA-COLA EUROPACIFIC,340.88,Utilities
23/01/2026,Heineken UK Ltd,£1331.09
3-3-2026,Coca Cola Europacific,£1416.88,
2026-01-05,diageo limited,1125.66,
2026-04-13,SKY BUSINESS,1450.72,
28/03/2026,COCA-COLA EUROPACIFIC,559.27,
02/04/2026,bt plc,910.03,Alcohol
14-1-2026,Coca Cola Europacific,1115.44,Utilities
2026-04-07,BRAKES UK,1543.08,
26/04/2026,BRAKES UK,£768.58,Food
27-1-2026,JJ FOOD SERVICE,346.93,
10-4-2026,BOOKER,669.71
10/04/2026,J J Food,-1037.16,
11/01/2026,Heineken UK,1053.56,Alcohol
4/3/2026,Amazon Business,377.50,
2026-01-04,BRITISH GAS,£392.34,Supplies
24-1-2026,Booker Ltd,1101.97,Soft Drinks
17/01/2026,Bakery Co,937.91
2026-02-13,Diageo Ltd,319.77,Soft Drinks
30/04/2026,BRITISH GAS,1220.68,Alcohol
23-4-2026,BT Business,£887.42,
2026-04-17,British Gas,258.77,
24-1-2026,Heineken UK Ltd,66.32,Utilities
2/23/2026,local butcher,609.59
14-2-2026,DIAGEO LIMITED,£217.45,
20/02/2026,DIAGEO LIMITED,£916.17,Food
11/02/2026,BritishGas,155.62
2026-01-08,AMAZON UK,421.03,
2/1/2026,DIAGEO LIMITED,1479.97,
1/4/2026,jj food service,1055,93,
17/03/2026,Coca Cola Europacific,201.48,
24/02/2026,Coca Cola Europacific,663.11,Utilities
2026-03-03,J J Food,557.93,
05/02/2026,Bakery Co,130.83,Alcohol
17/04/2026,Booker Ltd,£920.29,Alcohol
24/02/2026,Brakes Catering,234.85,Soft Drinks
3/9/2026,Cleaning Supplies Co,631.70,Soft Drinks
2026-04-25,E.ON,242.92,Supplies
4/30/2026,COCA-COLA EUROPACIFIC,-782.96,Supplies
03/04/2026,E.ON,1482.83,Utilities
29/04/2026,Local Butcher,£404.60,Food
1/6/2026,Diageo Ltd,£912,65,Food
25/02/2026,DIAGEO LIMITED,£849.20,
24/03/2026,SCOTTISH WATER,£294.96
4/19/2026,Diageo Ltd,815.23,
2026-03-12,HEINEKEN UK,£148.99,Alcohol
2026-03-30,BritishGas,670.22,Alcohol
1/9/2026,DIAGEO LIMITED,1293.38,
02/03/2026,coca cola,380.43,Food
29-1-2026,sky,1305,35,Food
09/04/2026,LOCAL BUTCHER,1387.69,Soft Drinks
19-4-2026,jj food service,920.35,Soft Drinks
2/23/2026,BOOKER,1015.92,Food
23/03/2026,JJ Food Service,871,31,Supplies
3/28/2026,Coca Cola,£538.64,Soft Drinks
19-2-2026,HEINEKEN,1526.98,
28-1-2026,Sky,£1266.46,Alcohol
18/02/2026,cleanco,£1153.58,
2026-01-15,Cleaning Supplies Co,£535.93,
1/11/2026,Cleaning Supplies Co,814,08,Soft Drinks
26-4-2026,Heineken UK,£793.95,Utilities
2026-03-25,scottish water,£212,07,
2026-03-05,Heineken UK Ltd,825,54,
17/01/2026,SCOTTISH WATER,1457.28,
1/18/2026,Local Butcher,£857.87,Soft Drinks
7-3-2026,Amazon,1512.34,
1/22/2026,booker,98,08,
2026-03-16,EON Energy,600,55,Soft Drinks
3/18/2026,britishgas,143.88,Supplies
2026-01-30,The Local Butcher,767,24,
2026-02-19,DIAGEO LIMITED,1328.04,Utilities
24-2-2026,JJ FOOD SERVICE,1547,46,Alcohol
06/01/2026,SCOTTISH WATER,1507.33,Utilities
21-4-2026,Diageo,258.83,Food
1/28/2026,Coca Cola Europacific,929.06
16/02/2026,CleanCo,£1106.05
3/20/2026,Bakery Co,859,20,Food
4-2-2026,cleaning supplies co,£1182.43,Supplies
2026-03-01,Amazon,417.55,Supplies
17-4-2026,HEINEKEN,994.11
1/7/2026,Local Bakery,1406.45,Soft Drinks
2026-03-14,Local Butcher,957.63,Alcohol
1/18/2026,CLEANING SUPPLIES CO,£644.55,Food
2026-04-11,JJ Food Service,816.51,Alcohol
1-4-2026,Coca Cola,412.00,Supplies
4/10/2026,BT,154.50,Food
2026-01-02,COCA-COLA EUROPACIFIC,119.81,
18/03/2026,coca-cola europacific,256.73,Utilities
7-4-2026,EON,724.09,
16/04/2026,DIAGEO LIMITED,1484.16,Alcohol
2026-02-14,Amazon,743.99,
4/17/2026,Amazon Business,1477.86,Food
2/4/2026,BRAKES UK,191.68,Soft Drinks
22/01/2026,Diageo,1420.79,
22-4-2026,DIAGEO LIMITED,275.23,Food
9-3-2026,BOOKER,990.75,
15/01/2026,Diageo,1430.53,
2026-01-15,Booker Wholesale,191.32,Supplies
1-2-2026,CleanCo,136.16,Soft Drinks
3/20/2026,BRAKES UK,984.26,
2026-02-22,jj food service,324.09,Alcohol
28-2-2026,British Gas,1119.28,
4/4/2026,Booker Ltd,-285.51,Food
02/01/2026,sky business,289.83,
21-2-2026,e.on,671.35,Soft Drinks
11-4-2026,Coca Cola Europacific,979.17,
3/23/2026,BT BUSINESS,£1462.62,
3/8/2026,J J Food,824.67,Soft Drinks
10-4-2026,EON Energy,291.23,Soft Drinks
2026-04-28,bt plc,807.74,
01/03/2026,Diageo,285.90,
2/28/2026,CleanCo,152.62,Food
29/03/2026,Sky Business,£386.95,
13-3-2026,Scottish Water,604.25,Food
21-1-2026,BritishGas,£1378.22,Food
4/2/2026,LOCAL BAKERY,999,29,
2026-01-23,Booker Ltd,571.06,Soft Drinks
1/10/2026,JJ FOOD SERVICE,1344.48,Supplies
2026-03-08,j j food,263.84,
2026-02-03,JJ Food Service,532,87,Supplies
2026-03-03,Local Bakery,1250,10,Soft Drinks
17/03/2026,Amazon,308.37,Food
1/30/2026,BritishGas,502.48,
11-2-2026,diageo limited,659.77,
2026-04-17,CLEANING SUPPLIES CO,107.73,Supplies
2026-03-21,BritishGas,986.98,
06/01/2026,Booker Wholesale,372.45,Soft Drinks
4/25/2026,Sky,277.25,
2/9/2026,BRAKES UK,447.55,Utilities
2026-02-05,heineken uk,£736.76,Food
30-1-2026,brakes,1016.77,Supplies
3/23/2026,COCA-COLA EUROPACIFIC,1397.81,
2026-04-05,BT PLC,1415.49
2026-02-01,J J Food,982.89,Soft Drinks
2026-01-29,COCA COLA EUROPACIFIC,-724.48,
4/7/2026,SCOTTISH WATER,1485.31,Soft Drinks
4-2-2026,Booker Wholesale,-1148.46,
22-2-2026,BT PLC,£120,41,
2026-04-01,Amazon Business,324.24,
2026-02-27,SCOTTISH WATER,1327.15,Food
25-2-2026,brakes uk,£230.31,
2026-01-31,BT Business,849.59,
2026-01-01,JJ FOOD SERVICE,964.60,Soft Drinks
2/17/2026,Sky Business,£1463.33,Utilities
17/04/2026,HEINEKEN,169.51,
11/01/2026,Local Butcher,-1504,49,
12-4-2026,Heineken UK Ltd,775.02,Utilities
2026-02-16,Booker Wholesale,1110.18,Food
02/01/2026,Coca Cola,1038.64,Soft Drinks
3/25/2026,JJ FOOD SERVICE,691.84,Soft Drinks
22/02/2026,BT Business,£733.64,
2026-03-15,BT PLC,1287.26,Soft Drinks
2026-02-13,Local Bakery,1286.22,Utilities
2026-04-01,Bakery Co,1441.61,
07/04/2026,j j food,£1048.27,Supplies
25-3-2026,Heineken UK Ltd,528.44,Soft Drinks
3-3-2026,BT Business,1534.24,Soft Drinks
30/03/2026,British Gas,1261.73,Utilities
2/21/2026,JJ Food Service,1440.68,
2026-01-26,Diageo Ltd,220.45,
29/01/2026,BRAKES UK,625.07,Alcohol
1/25/2026,CleanCo,1150.40,Food
19/03/2026,Local Butcher,£523.09,Soft Drinks
1/4/2026,Local Bakery,-908.18,Food
2026-03-05,Scottish Water,405.80,Alcohol
3/15/2026,JJ FOOD SERVICE,230.53,Alcohol
2026-03-12,amazon uk,728.18,Soft Drinks
2026-01-27,The Local Butcher,630.31,
13/02/2026,COCA-COLA EUROPACIFIC,362.18,
5-4-2026,Bakery Co,896.07,Alcohol
4/27/2026,Local Bakery,728.27,Alcohol
2/12/2026,Sky,918.86,Supplies
8-2-2026,COCA-COLA EUROPACIFIC,1459,02,Soft Drinks
2026-03-06,Heineken UK,£861.99,Alcohol
30-3-2026,amazon uk,716.85,Food
01/01/2026,Scottish Water,537.72,
03/04/2026,Booker Wholesale,£585.25,
2-4-2026,BT,£608.99,Alcohol
12-2-2026,coca-cola europacific,985.55,
26/01/2026,BT PLC,890.25,Alcohol
11-1-2026,HEINEKEN,1479.59,Alcohol
20/03/2026,SCOTTISH WATER,942.99,
16/03/2026,AMAZON UK,1352,93,Alcohol
1/9/2026,Booker Wholesale,£922.42,
2026-03-07,EON ENERGY,183.51,Food
09/01/2026,cleanco,£259.05,
2/3/2026,amazon uk,£804.67,
2026-04-24,BritishGas,1392,29,Alcohol
4-1-2026,Coca Cola Europacific,1447.72,Food
19-4-2026,SCOTTISH WATER,547.54,
4/16/2026,HEINEKEN,281.99,Utilities
2026-02-10,British Gas,1420.13,Soft Drinks
2026-04-17,Brakes Catering,1497.67,Supplies
28/04/2026,Scottish Water,246.72,Alcohol
2026-01-27,BRITISH GAS,360.24,Supplies
2/11/2026,BAKERY CO,679.98,
23-4-2026,scottish water,402,43,Food
12-4-2026,BOOKER LTD,228.84,Supplies
2026-03-26,Amazon Business,512.24,Alcohol
16-4-2026,Coca Cola,50,69,Utilities
28-3-2026,Coca Cola,431.74,
30-4-2026,BT Business,1329,10,
20/01/2026,SKY BUSINESS,£594.98,
2026-03-29,britishgas,214.38,
4/24/2026,BT Business,604.14,
26-4-2026,E.ON,85.40,Supplies
9-1-2026,BT,700.70,Food
2026-03-27,Brakes,£232.59,
2026-03-10,DIAGEO LIMITED,1290.29,
26/03/2026,Brakes,1371.30,Supplies
12/01/2026,local bakery,492.30,Food
16-3-2026,JJ Food Service,1360.79,Supplies
09/04/2026,AMAZON UK,1118.86,
29/04/2026,Cleaning Supplies Co,337.85,Alcohol
22-1-2026,Scottish Water,1418,05,Alcohol
6-4-2026,Booker Ltd,£1035.76,Alcohol
31/01/2026,COCA-COLA EUROPACIFIC,87.71,Utilities
3/27/2026,BT,£947,74,
30/04/2026,Coca Cola,367.21,Utilities
6-3-2026,amazon business,866.38,Soft Drinks
2026-04-27,Coca Cola,1328.74,Alcohol
2026-04-05,Coca Cola Europacific,932.28,Supplies
18-2-2026,Sky Business,1237.71,
2026-01-10,BT Business,£291,20,Soft Drinks
21-4-2026,BRAKES,324.69,Utilities
2/14/2026,Booker Wholesale,1380.85,
17/04/2026,Brakes Catering,456.12,Supplies
31/01/2026,Diageo Ltd,1332,75,
12/03/2026,Diageo,137.64,Alcohol
13-4-2026,Bakery Co,677.99,Soft Drinks
05/02/2026,Coca Cola Europacific,423.32,Supplies
27/03/2026,DIAGEO,594.74,
3/11/2026,CleanCo,£539.15,
4-4-2026,JJ FOOD SERVICE,1495.88,Utilities
2026-04-07,The Local Butcher,1221.53,Utilities
21/01/2026,Amazon,1003.55,Soft Drinks
1/7/2026,Brakes Catering,874.66,Supplies
16/04/2026,DIAGEO LIMITED,£436.15,Alcohol
25/04/2026,Heineken UK Ltd,1170.52,
5-4-2026,cleaning supplies co,56,25,Supplies
08/01/2026,JJ Food Service,403,98,
2026-04-12,BRAKES UK,890.69,
15-4-2026,Local Bakery,814.13,
1/7/2026,BRAKES UK,1473.73,Supplies
6-4-2026,Booker Ltd,598.28,
2/7/2026,BRITISH GAS,736.84
2026-04-13,CleanCo,199.62,Food
2/14/2026,CLEANCO,£1508.06,Soft Drinks
30/04/2026,Coca Cola,136.49,Supplies
27/02/2026,Sky,1388,67,Soft Drinks
25/03/2026,BOOKER,449.08,Supplies
1/20/2026,BritishGas,1153,40,Utilities
15/02/2026,Brakes Catering,193.93,
07/04/2026,Sky,609.92
03/03/2026,BAKERY CO,£765.90
2026-02-08,Amazon Business,529.09,Utilities
1/11/2026,Amazon Business,357.56
30/01/2026,Booker Wholesale,462.69,Soft Drinks
4/4/2026,BT PLC,£1137.10,Soft Drinks
06/04/2026,BRAKES UK,£820.66,
13/02/2026,BT PLC,£704.10,Alcohol
2/14/2026,COCA-COLA EUROPACIFIC,855.68,
1/26/2026,AMAZON UK,£436.08,
19-1-2026,E.ON,1048.23,Food
26/01/2026,AMAZON,885.69,Utilities
2026-03-29,Local Butcher,£454.10,Alcohol
2026-03-15,AMAZON UK,1239,95,Utilities
2026-01-13,scottish water,1456.30,
19-4-2026,Amazon Business,201.55,
1/17/2026,DIAGEO LIMITED,802.61,
2026-01-05,BT,940.41,
09/04/2026,Coca Cola Europacific,110.25,
8-1-2026,Local Bakery,1419.94,
2-3-2026,AMAZON UK,-1373,06,Soft Drinks
3/15/2026,Local Butcher,1074.80,
10-4-2026,JJ FOOD SERVICE,1301.33,Utilities
2026-04-05,Diageo,£434.51
13/01/2026,BOOKER,596,95,Food
12-1-2026,scottish water,159,13,Alcohol
3/9/2026,DIAGEO LIMITED,1406.31,
4/10/2026,EON Energy,724.09,Supplies
1/22/2026,BOOKER,1030.80
2026-02-25,British Gas,809.77
1/29/2026,BT PLC,600,12,Food
2/24/2026,Local Butcher,£1428.59,
4/15/2026,amazon uk,91.44,
4/10/2026,JJ FOOD SERVICE,668.23,Alcohol
23/03/2026,Coca Cola Europacific,1404.43,
4/13/2026,JJ FOOD SERVICE,£960.59,
2026-01-04,J J Food,954.30,
1/5/2026,E.ON,999.13,Supplies
2026-03-19,Brakes,£262.42,
20/04/2026,Brakes Catering,1392.12,
4/21/2026,Heineken UK Ltd,218,69,
2026-04-06,EON Energy,560.35,
4/19/2026,Brakes Catering,1252.00,
4/10/2026,SCOTTISH WATER,959.28,
20/02/2026,J J Food,435.24,Supplies
22/04/2026,LOCAL BUTCHER,£311.47,Soft Drinks
2026-02-09,Sky Business,£1004.98,
4/15/2026,Coca Cola,£241.83,
3/16/2026,AMAZON BUSINESS,574.43,Soft Drinks
4/14/2026,Coca Cola Europacific,61.24,Supplies
1/27/2026,J J Food,691.71,Supplies
2026-01-02,Cleaning Supplies Co,1303.10,
2026-04-03,AMAZON UK,1289.29,Utilities
1/27/2026,Local Butcher,519.38,
4-3-2026,BT Business,-429.53,
4/25/2026,Cleaning Supplies Co,1481.26,Alcohol
2026-04-08,J J Food,136.17,
4/4/2026,EON Energy,£1065.19,
2026-03-22,BRITISH GAS,1038.81,Supplies
10-4-2026,LOCAL BAKERY,-860,31,
4/8/2026,Cleaning Supplies Co,1373.71,
1-4-2026,Coca Cola,1248.61,Alcohol
6-4-2026,scottish water,1453.00,Soft Drinks
2026-04-19,Diageo Ltd,1522.22,Food
10/03/2026,COCA-COLA EUROPACIFIC,1310.93,Utilities
26-1-2026,E.ON,£733.23,
03/04/2026,Brakes,1157,34,
2026-01-12,Booker Ltd,915.35
4/1/2026,Amazon Business,55.41,
24-2-2026,Booker Wholesale,756.95,
2026-03-03,DIAGEO LIMITED,217.13,
2026-03-31,BRAKES UK,1473.15,
2026-01-17,bt business,1120.87,
3/2/2026,CleanCo,495.40,Alcohol
20-4-2026,The Local Butcher,231.86,Supplies
18/04/2026,Local Bakery,475.16,
10-3-2026,COCA-COLA EUROPACIFIC,77.35,
2026-03-24,COCA-COLA EUROPACIFIC,1361.29,Alcohol
10-3-2026,Diageo,1032.20,Soft Drinks
2026-02-18,BRITISH GAS,£285.99,Food
31/03/2026,Brakes,£1356,85,Supplies
28-3-2026,EON Energy,504.84
06/04/2026,British Gas,£276.38,Alcohol
1/19/2026,LOCAL BUTCHER,391.26
2026-04-25,Amazon,1198.27,Soft Drinks
18-4-2026,BOOKER,262.88,Utilities
05/03/2026,DIAGEO LIMITED,920.10,Supplies
2026-01-01,Coca Cola,806,22,
02/01/2026,Coca Cola,1026.95,
28/04/2026,HEINEKEN,785.25,
22/04/2026,Brakes,-814.46,Soft Drinks
17-3-2026,HEINEKEN,704.64,
05/03/2026,Amazon Business,653,24,Food
29/04/2026,E.ON,679,18,
1/27/2026,BRITISH GAS,392.81,Alcohol
2/14/2026,BritishGas,£1175.20,
2026-02-15,Bakery Co,£1100.01,Supplies
13-2-2026,BOOKER,£806.78,
11-1-2026,Diageo Ltd,635.97,Supplies
3/23/2026,BT,80.95,Food
17-4-2026,Local Bakery,1455.45,Soft Drinks
29/03/2026,EON Energy,1427.77,Food
2026-04-06,JJ Food Service,1139.17,
03/02/2026,BT PLC,279.93,Supplies
19-4-2026,The Local Butcher,1395.19,Utilities
07/02/2026,E.ON,674.53,Soft Drinks
03/02/2026,Booker Wholesale,214.28,Utilities
21-3-2026,diageo,1134.16,Alcohol
2/1/2026,J J Food,1276.86
20/03/2026,The Local Butcher,£564.49,Supplies
12-4-2026,BT,1182.30,
1/30/2026,Brakes Catering,-1509.79,
22-1-2026,AMAZON UK,1500.11
16/03/2026,CleanCo,1061.02,Supplies
16/02/2026,Amazon,582.24,Food
22/03/2026,Scottish Water,£1302.35,Food
2/25/2026,British Gas,1228,02,Food
22-4-2026,Local Butcher,1046.11,Supplies
