DATE,SUPPLIER,AMOUNT,
4/9/2026,Coca Cola,£250.74,Utilities
23/02/2026,Local Bakery,740,13,Food
14/03/2026,DIAGEO,1166.52,Alcohol
2026-02-04,Bakery Co,187.46,Supplies
2026-03-08,Scottish Water,824.90,Alcohol
22-1-2026,Heineken UK,933.27,Soft Drinks
13-1-2026,EON,1210.40,Alcohol
18-4-2026,BRAKES UK,£924.63,
01/01/2026,Booker Ltd,224.40,Food
2026-02-28,EON Energy,£177.85,
2026-02-16,E.ON,1541,53,Food
2026-03-25,BRAKES,£723,28,Food
4/17/2026,BRAKES UK,719.75,Soft Drinks
2026-03-29,local butcher,865.63,Soft Drinks
20-3-2026,COCA-COLA EUROPACIFIC,510.29,Soft Drinks
11-1-2026,EON,500.38,
14-1-2026,Sky,595.63,Soft Drinks
3/23/2026,AMAZON UK,322.54
2026-04-28,HEINEKEN,564.08,Soft Drinks
3/7/2026,BT,215.07,Soft Drinks
4/23/2026,Bakery Co,1143.31,Alcohol
2/16/2026,bt,£119.73,
3/21/2026,BRITISH GAS,£809.98,Utilities
1/19/2026,J J Food,360.24,Supplies
15/04/2026,Amazon Business,370.19,Supplies
2026-01-16,Amazon,458.14,Soft Drinks
8-2-2026,Bakery Co,£211.98,Food
3/27/2026,EON Energy,£800.62,
4-4-2026,Diageo Ltd,452.24,
19-4-2026,Diageo Ltd,892.94,Alcohol
15/02/2026,Cleaning Supplies Co,794,44,Soft Drinks
2026-02-11,the local butcher,£599.83,Alcohol
16-3-2026,BRAKES UK,701.02,Alcohol
2026-03-08,Booker Ltd,50.17,Alcohol
3/30/2026,Sky Business,483.40,Supplies
4/24/2026,Amazon,-819.45,Alcohol
13-1-2026,BRITISH GAS,-1458.68
1/14/2026,Scottish Water,417.83,
2026-03-13,Booker Ltd,1498.48,
2026-04-06,Cleaning Supplies Co,-1514.34,Utilities
19-1-2026,Diageo,1179.32,
4/3/2026,Bakery Co,656.91,Utilities
20/03/2026,Brakes Catering,£343.74,Alcohol
2026-02-09,Heineken UK,1417.19,Alcohol
20-1-2026,Local Butcher,998,89,
2/24/2026,e.on,795.83,Alcohol
5-2-2026,Brakes,538.40,Alcohol
3/5/2026,JJ Food Service,188.39,Supplies
2026-03-30,BT Business,1507.71,Supplies
11-3-2026,AMAZON,£1360.25,Utilities
2026-01-29,BT PLC,£1287.13,Utilities
2026-04-09,Heineken UK,811.78,
3/21/2026,Heineken UK Ltd,765.14,Food
2026-02-11,JJ Food Service,£994.84,
3/22/2026,Cleaning Supplies Co,1460.67,Food
08/04/2026,COCA-COLA EUROPACIFIC,257.01,
16-3-2026,britishgas,£948,92,Food
16/01/2026,SCOTTISH WATER,1277.99,
1/11/2026,Coca Cola Europacific,£1196.86,Alcohol
4/17/2026,COCA COLA EUROPACIFIC,863,82,Alcohol
4/19/2026,JJ FOOD SERVICE,1174,67
13-2-2026,Booker Wholesale,£336.88,Food
24-2-2026,AMAZON UK,518.80,
23/03/2026,Brakes Catering,1151.65,Food
2026-02-28,SCOTTISH WATER,760.06,
2026-02-12,Heineken UK Ltd,1309.51,Supplies
27/04/2026,DIAGEO LIMITED,815.25,Utilities
2/15/2026,Local Bakery,548.95,Food
11/02/2026,Sky,1322.62,
10-2-2026,EON Energy,532.04,
2026-04-16,Amazon,931.96,Soft Drinks
2026-01-02,amazon,261.42
2026-04-10,BOOKER,£1372,38,Soft Drinks
05/04/2026,SCOTTISH WATER,1176.13,Alcohol
4/8/2026,diageo ltd,-£541.44,
3/19/2026,Diageo Ltd,1502.77,
06/02/2026,Sky Business,1460.44,Supplies
2026-01-06,Scottish Water,1286.84,
2026-01-01,Local Bakery,999.98,
24-2-2026,Brakes Catering,1500.56,Food
1/11/2026,BRAKES UK,968.17,
27/01/2026,local bakery,1114.96,
2026-03-07,Amazon,208,28,
14-4-2026,cleanco,352.83,Alcohol
19/04/2026,BRAKES UK,875.77,
4/10/2026,Amazon Business,979.87,
2026-04-02,Bakery Co,1394.64,Food
24-1-2026,COCA-COLA EUROPACIFIC,1497.44,Utilities
11-1-2026,BRAKES UK,814.00,Utilities
26/02/2026,CleanCo,£413,50,
15/03/2026,JJ FOOD SERVICE,745.40,
2/11/2026,Local Butcher,£1171.06,
14-3-2026,EON Energy,259,71,
2/11/2026,Coca Cola Europacific,102,77,Utilities
2/13/2026,Cleaning Supplies Co,279.52,
23/02/2026,SCOTTISH WATER,655.91,
11/04/2026,SCOTTISH WATER,194.90,Alcohol
19/03/2026,J J Food,685.89,
2026-03-12,Diageo Ltd,487.58,Food
2026-01-21,Brakes,657.92,Food
3/10/2026,Coca Cola Europacific,1060.75,Supplies
4-2-2026,BT,1062.25,Food
03/01/2026,BRITISH GAS,£649.53,Soft Drinks
2026-04-07,British Gas,-887.67,
1/14/2026,Sky,778,23,Food
2026-02-02,The Local Butcher,£74.61,
2026-01-06,Heineken UK Ltd,1336,58
2-4-2026,Booker Wholesale,450.97,Soft Drinks
6-1-2026,Brakes,£898.41,Food
26-4-2026,British Gas,£122.48,Supplies
1/3/2026,BritishGas,1242.38,Alcohol
2026-03-08,AMAZON UK,1539.04,Alcohol
03/02/2026,Heineken UK,1031.91,
17-1-2026,BRITISH GAS,357.82,Soft Drinks
2/22/2026,Amazon Business,1531.85,Soft Drinks
4/11/2026,SKY,612.89,Soft Drinks
1-1-2026,BT Business,£965.71,Food
2026-02-03,BT PLC,309.57,Supplies
2026-01-25,BRAKES CATERING,90.11,Utilities
22-2-2026,BT PLC,275.55,Alcohol
27-3-2026,CleanCo,904,25,Food
3/20/2026,sky,648.50,
4/3/2026,BOOKER,£1418.33,
27/01/2026,Heineken UK,1274.01,Food
20-3-2026,EON Energy,183.73,
05/03/2026,Heineken UK Ltd,1435.53,Food
13/01/2026,BOOKER LTD,331.23,
2026-03-21,Sky Business,248,06,Supplies
2026-02-03,Cleaning Supplies Co,333.08,
13-1-2026,BT,449.82,Alcohol
10/04/2026,BT,£364.72,Food
2026-02-01,Cleaning Supplies Co,1256,81,Soft Drinks
18-1-2026,JJ Food Service,1246,10,Utilities
26/03/2026,e.on,985.09
2026-04-15,Cleaning Supplies Co,159.97,Alcohol
11/04/2026,Booker Ltd,1376.77,Food
31/03/2026,CleanCo,76.05,Utilities
2/23/2026,Brakes,980.80,
11-4-2026,CleanCo,158.23,
2026-03-23,JJ FOOD SERVICE,1012.33,Supplies
2026-02-10,Coca Cola,£992.45,Alcohol
2026-04-07,EON Energy,616.65,Food
2026-03-19,JJ Food Service,£930.79,
2026-04-04,CleanCo,£1352.99,Soft Drinks
2026-02-23,AMAZON UK,1342,66
4/17/2026,Booker Wholesale,-1322.41,Food
4/3/2026,Booker Wholesale,177.51,Alcohol
2026-04-29,BT PLC,£610.05,Soft Drinks
4/26/2026,COCA-COLA EUROPACIFIC,£1167.06,
28-2-2026,Local Butcher,1295.92,Supplies
30/01/2026,Brakes,274.60,Supplies
20/03/2026,EON,-369.45,Food
1-2-2026,Amazon,1107.16,Food
1/20/2026,Sky Business,956.23,
3/21/2026,BRITISH GAS,673.26,Supplies
10-1-2026,E.ON,£669.61
29/03/2026,Booker Wholesale,976.35
18-4-2026,British Gas,241.08,Utilities
19-1-2026,Scottish Water,201.08
24-3-2026,Local Butcher,1353.20,
06/04/2026,Coca Cola,368.32,Supplies
4/12/2026,Heineken UK Ltd,921.23,Food
4/25/2026,CleanCo,£1265.25,
2026-03-02,COCA-COLA EUROPACIFIC,1324.25,Supplies
7-1-2026,HEINEKEN,87.99,Food
20/02/2026,EON,356.33,Food
12/02/2026,Coca Cola,456.12,
2/11/2026,Booker Ltd,111.96,Utilities
3-2-2026,Diageo Ltd,212.57,
2/9/2026,Heineken UK Ltd,£399,57,Alcohol
25-3-2026,AMAZON UK,449.12,Utilities
2026-01-22,BT Business,1445.39,Soft Drinks
2/20/2026,BOOKER,£1411.28,Utilities
3/10/2026,Coca Cola,283.76,Utilities
23-1-2026,HEINEKEN UK LTD,493.43,
4/23/2026,BT Business,437.40,Utilities
1-1-2026,JJ Food Service,1067.38
4/17/2026,CleanCo,315.54
25/02/2026,Coca Cola Europacific,1520.44,Utilities
11/01/2026,Booker Wholesale,207.91,Food
2/23/2026,J J Food,1258.72,Food
2026-01-01,Sky,1453.58,
29/04/2026,HEINEKEN,739.22,Supplies
09/03/2026,british gas,£361.84,Alcohol
19-2-2026,Scottish Water,689.36,
16/02/2026,The Local Butcher,88.51,Supplies
01/01/2026,amazon uk,271.87,
2026-02-23,CLEANCO,-1519,26,Supplies
2/14/2026,CleanCo,£539.04,
01/03/2026,BT,1180.15,
07/04/2026,Sky Business,1069,75,Supplies
1-4-2026,E.ON,1427.41,Utilities
2026-04-01,BOOKER,526.09,
2/20/2026,BRITISH GAS,966.08,Utilities
2026-03-08,BOOKER LTD,£687.18,Utilities
3/12/2026,BOOKER,£180.00,Alcohol
2026-04-24,EON,1001.21,Food
8-3-2026,CleanCo,294,05,Food
2026-03-13,BOOKER,1511.36,Utilities
4/28/2026,E.ON,1499.01,Supplies
2026-02-18,BRITISH GAS,249.51,
1/4/2026,JJ Food Service,936.71,Soft Drinks
28/01/2026,Coca Cola Europacific,643.53,Alcohol
4/22/2026,BAKERY CO,976.01,Alcohol
12-3-2026,JJ Food Service,426.47
2026-02-12,EON,593.15,
2026-01-15,Amazon Business,373.92,Supplies
2026-03-11,Coca Cola Europacific,1480.78,Supplies
11/01/2026,BT PLC,1396.53,Soft Drinks
31/01/2026,BritishGas,1129.43,
2026-03-15,Brakes,558.40,Supplies
24-4-2026,Sky,408.38,
2026-01-04,british gas,347.29,
2026-04-21,Cleaning Supplies Co,981.53,
16-3-2026,british gas,£154,09,
2026-03-20,the local butcher,105.57,
7-4-2026,Sky Business,1194.86,Soft Drinks
2026-01-16,EON Energy,944.83,Alcohol
2026-01-26,CleanCo,299.32,Soft Drinks
3/30/2026,Brakes Catering,£278.12,
2026-04-18,BT PLC,1302.20,
2026-04-03,amazon business,483,75,Alcohol
16/01/2026,Cleaning Supplies Co,1205.48,Alcohol
21/03/2026,JJ FOOD SERVICE,118.74,Utilities
3-2-2026,COCA COLA EUROPACIFIC,224,06,Alcohol
16/01/2026,Amazon,-587.65,
13/02/2026,Amazon,1078.18,
3/13/2026,Booker Wholesale,£1072.66,Soft Drinks
2026-02-23,CleanCo,264.89,
3/28/2026,THE LOCAL BUTCHER,£120,75,
2026-02-24,AMAZON UK,860.26,Alcohol
04/04/2026,coca cola,773.37,Supplies
15/04/2026,Amazon,231.57,Soft Drinks
24-3-2026,COCA-COLA EUROPACIFIC,1198.28
28-3-2026,Coca Cola,1035,58,Utilities
3/30/2026,AMAZON UK,134.17,Soft Drinks
27-1-2026,heineken uk ltd,335.60,
14-2-2026,britishgas,662.43,Alcohol
04/03/2026,JJ FOOD SERVICE,1124.00,Utilities
23/01/2026,Local Butcher,422.13,Food
11/01/2026,Brakes Catering,365.32,Supplies
8-4-2026,Amazon,1160.39,Utilities
31/01/2026,Heineken UK,99.75,Soft Drinks
05/01/2026,booker ltd,227.51,
2026-03-03,Amazon,224.83,
27-2-2026,CleanCo,-760.62,Alcohol
2026-02-15,Booker Ltd,£466.37,Soft Drinks
21/02/2026,E.ON,£1357.80,Utilities
2026-01-28,bt business,104.35,
19/01/2026,DIAGEO LIMITED,£1031.72,
15-1-2026,Local Butcher,526.70,
8-2-2026,Diageo,752.33,Alcohol
2026-04-26,AMAZON UK,909.30,Soft Drinks
2026-01-27,BT PLC,545.79,Alcohol
02/01/2026,BT,£299,07,Soft Drinks
4-2-2026,BAKERY CO,£108.63,
11/01/2026,Diageo Ltd,754.23,
10/03/2026,JJ FOOD SERVICE,-139,26,Food
15-1-2026,coca cola europacific,765.69,Food
26/04/2026,LOCAL BUTCHER,869.95,
2/14/2026,BOOKER,379.17,Supplies
4/16/2026,EON,£520.53
2026-03-29,BRAKES UK,£1127.33,
17/03/2026,J J Food,1291.88,Utilities
19-4-2026,scottish water,£687.97,
11/02/2026,EON Energy,808.88,Utilities
3-4-2026,BT Business,£880.76,
1/22/2026,E.ON,£611,30,Food
4/25/2026,BT,1393.88,Soft Drinks
2-3-2026,British Gas,206.33,Supplies
27/01/2026,Sky,983.45,Soft Drinks
4/16/2026,BT Business,707.07,Supplies
8-2-2026,E.ON,1488.17,Soft Drinks
3/6/2026,AMAZON UK,154.98,
17-4-2026,AMAZON UK,1211,03,Utilities
23/03/2026,Bakery Co,1340.90,Alcohol
4/13/2026,E.ON,449.20,Alcohol
28/01/2026,BT Business,1451.75,Alcohol
19-2-2026,Scottish Water,1334.98,Soft Drinks
22/03/2026,AMAZON UK,709.58
4/23/2026,BT PLC,1336.94,Alcohol
22-2-2026,BritishGas,797.71,
3/22/2026,BRAKES UK,1224.80,
4/26/2026,HEINEKEN,£1420.83,Food
4-1-2026,BRAKES UK,1042.72,
4/29/2026,BT PLC,50.10,
6-2-2026,diageo,556.86,Utilities
21/01/2026,HEINEKEN,1174.28,Food
19/02/2026,Sky Business,£1326.11,
13-3-2026,J J Food,475,27,
10-2-2026,COCA-COLA EUROPACIFIC,383.95,Utilities
2026-02-15,BOOKER,444.36,Food
4/17/2026,E.ON,333.97,Soft Drinks
22-1-2026,Sky Business,£453.56,Soft Drinks
23/01/2026,BT Business,1432.19,Alcohol
30-3-2026,Heineken UK Ltd,744.35
19-4-2026,Bakery Co,1240.36,Soft Drinks
08/04/2026,BOOKER,541.18,Alcohol
2026-01-15,BOOKER,278.76,Food
11-4-2026,COCA COLA EUROPACIFIC,1268.05,
2026-02-18,Brakes Catering,£249.35,Utilities
2026-04-11,Coca Cola Europacific,389.52,Alcohol
3-2-2026,BRITISHGAS,£574.03,Soft Drinks
10/01/2026,The Local Butcher,799.16,Alcohol
1/5/2026,Heineken UK Ltd,£1096.43,
18-1-2026,AMAZON UK,965.76,
2026-01-05,BRAKES UK,239.35,Supplies
17/03/2026,Booker Wholesale,£1288.62,
1/19/2026,British Gas,1157.63,
2026-03-11,SCOTTISH WATER,1479.75,
25/01/2026,DIAGEO LIMITED,1317.16,Food
2/10/2026,heineken uk ltd,£1157.92,Soft Drinks
06/04/2026,BRITISH GAS,835.24,Alcohol
2/12/2026,Brakes Catering,928.16,Supplies
28/01/2026,Coca Cola,997.89,Soft Drinks
12-3-2026,JJ FOOD SERVICE,742.92,
2026-02-17,EON,100.28,
2026-04-06,Brakes,£474.33,Food
14-3-2026,Diageo Ltd,963,73,Utilities
27-2-2026,local bakery,927.82
2026-02-05,Coca Cola,616.38,
2026-01-23,BT Business,476.64,
23-4-2026,The Local Butcher,£897.89,Food
2/6/2026,Cleaning Supplies Co,1228.91,
2026-02-03,Coca Cola Europacific,291,57,
2026-04-20,Bakery Co,£678.73,Soft Drinks
20/03/2026,CleanCo,133.45
22/02/2026,CleanCo,267.42,
1/17/2026,Amazon Business,372.83,
23/04/2026,BritishGas,£870.92,Utilities
4/30/2026,BT,91,21,Food
2026-04-09,Sky,905.06,Soft Drinks
2026-04-03,British Gas,1367.21,Supplies
28/01/2026,Brakes Catering,1288.49,Food
2-4-2026,DIAGEO,188.07,Alcohol
05/02/2026,COCA COLA,-98.95,Supplies
6-3-2026,British Gas,1443.25,Alcohol
2/22/2026,JJ Food Service,948.44,Supplies
9-4-2026,Booker Ltd,109.22,Food
2026-04-24,brakes catering,£559.71,
30-4-2026,EON,£257.38,
28-2-2026,Bakery Co,165.02,Utilities
11-4-2026,BT,804.18,Utilities
4/25/2026,Amazon Business,324.69,Utilities
2026-01-07,Heineken UK Ltd,397.22,Alcohol
2026-02-27,BRAKES UK,376.11,Supplies
13-2-2026,SCOTTISH WATER,592.14,Supplies
1/12/2026,BT Business,1490.10,Utilities
1/26/2026,HEINEKEN,649.49,
1/26/2026,SCOTTISH WATER,1169.58,
2026-01-15,Sky,904.72,Alcohol
2026-03-10,BOOKER LTD,1013.04,Alcohol
28/04/2026,SCOTTISH WATER,874.57,
25/01/2026,BT Business,£735.43,
3/16/2026,DIAGEO LIMITED,685.50,Supplies
27/02/2026,Diageo,1343.10,Food
2-1-2026,BT,1197.89,Alcohol
11-3-2026,Brakes Catering,1531.67,Supplies
3/17/2026,BT PLC,1549.15,Supplies
4/25/2026,BT BUSINESS,£1265.43,
19/04/2026,Amazon,352.58,
2026-03-12,SCOTTISH WATER,1473.76,Food
2026-01-23,BT Business,868.20
15/01/2026,The Local Butcher,920,95,
2026-02-10,Heineken UK,797.68,Supplies
19-3-2026,Brakes,£118.95,Supplies
2026-03-19,Heineken UK Ltd,791.54,
3/29/2026,brakes catering,1381.28,Utilities
06/03/2026,Brakes,1008.88,Soft Drinks
02/01/2026,BT PLC,770.24,Food
2026-01-01,Diageo,432.16,Utilities
2026-03-21,Scottish Water,320.90,Utilities
12/04/2026,JJ FOOD SERVICE,302.35,Food
2/23/2026,brakes uk,648.46,
4-4-2026,EON,£96.55
27-4-2026,E.ON,1004.34,Food
2026-01-09,EON Energy,1497.63,Utilities
1/23/2026,JJ Food Service,1243.76,
4-4-2026,CleanCo,677.25,Utilities
21-3-2026,AMAZON BUSINESS,1321.99,
2/13/2026,coca cola,1119.50,
9-2-2026,BOOKER WHOLESALE,£447.26,Food
2026-02-05,CLEANCO,£1307.83,
1/13/2026,J J Food,1113.99,Alcohol
21-2-2026,BRAKES UK,1051.27,Soft Drinks
4/19/2026,COCA-COLA EUROPACIFIC,682.07,Alcohol
2026-04-01,BT,1188.77,Supplies
08/02/2026,Bakery Co,£725.99,
2026-04-27,JJ FOOD SERVICE,1112.50,
09/04/2026,Local Butcher,888.68
21-1-2026,Brakes,582.55,
2026-03-04,The Local Butcher,336.23,Food
1/26/2026,British Gas,311.42,Utilities
28/03/2026,Sky Business,1540.89,
3/4/2026,Sky Business,£969.22,
12-2-2026,AMAZON UK,1053.22,
22/04/2026,Booker Ltd,£234,15,
7-3-2026,Diageo Ltd,-137.38,Utilities
9-4-2026,HEINEKEN,1459.66,Food
04/01/2026,BRITISH GAS,744.98,Alcohol
2026-03-18,diageo ltd,-£1286.68,Supplies
12/04/2026,Sky Business,1039.18,Alcohol
11/03/2026,Brakes,1415.91,Alcohol
21/01/2026,Scottish Water,£1260.87,
17-2-2026,J J Food,242.26,
2026-04-05,diageo,1409.48,Utilities
7-4-2026,Scottish Water,460.23,Utilities
04/01/2026,cleaning supplies co,1002.93,
1/20/2026,Coca Cola,£663.99,
17/04/2026,britishgas,£694.94,Soft Drinks
2026-04-24,BOOKER,239.72,Supplies
23-4-2026,Brakes,£912.72,Food
1/3/2026,diageo,1373.76,
31-1-2026,Booker Ltd,£1088,29,Supplies
12-1-2026,Amazon,974.34,Utilities
4/7/2026,JJ FOOD SERVICE,378.68,Supplies
9-2-2026,Diageo Ltd,369.51,Soft Drinks
27-1-2026,DIAGEO LIMITED,204.25
14-4-2026,AMAZON UK,1510.32,
2/28/2026,local bakery,£146.49,
2026-01-11,DIAGEO LTD,1517.85,Utilities
4/20/2026,Amazon,1047.18,Alcohol
17/01/2026,amazon,746.90,Utilities
2026-04-03,SCOTTISH WATER,688.64,Food
02/03/2026,Bakery Co,1419.84,Food
2026-03-08,Diageo,497.84,Food
28/04/2026,JJ Food Service,836.98,
2026-01-17,AMAZON UK,£186.83,Utilities
2026-02-28,Diageo,£1353.47,
04/02/2026,Amazon Business,£1473.40,
4/4/2026,BT PLC,-716.76,
28-1-2026,SCOTTISH WATER,1395.44,
2/2/2026,jj food service,431,79,
20/01/2026,The Local Butcher,1523.04,Utilities
2026-03-30,Coca Cola,£1443.64,Alcohol
9-1-2026,Cleaning Supplies Co,£205,73,Soft Drinks
5-2-2026,JJ FOOD SERVICE,150.90,
2026-04-02,Heineken UK Ltd,£202.50,Supplies
2026-03-13,Heineken UK,1400.91,
19-4-2026,HEINEKEN,536.57,
2026-02-21,coca cola,722.52,Food
22/01/2026,COCA-COLA EUROPACIFIC,1522.17,Utilities
07/01/2026,Local Bakery,1384.02,
12-1-2026,DIAGEO LIMITED,618.92,Alcohol
11/03/2026,JJ Food Service,1066.06,Alcohol
2-3-2026,BRITISH GAS,723.35,Alcohol
4/9/2026,DIAGEO LIMITED,1467.63,
1-1-2026,Brakes Catering,1244.94,Alcohol
19/02/2026,coca cola,£1097.09,Food
28-1-2026,Amazon,1054.75,Alcohol
4/6/2026,Heineken UK,771.00,Soft Drinks
3/23/2026,BRITISH GAS,£534.23,
2/24/2026,Cleaning Supplies Co,242.68
2026-04-16,COCA-COLA EUROPACIFIC,£1008.69,
2026-03-26,bt,£238.78,
14/04/2026,Coca Cola,£808.58,Soft Drinks
2026-02-19,jj food service,497.77,
02/01/2026,AMAZON UK,475.14,Food
25/01/2026,british gas,1384.44,
5-3-2026,AMAZON UK,1471.23
4-3-2026,BRITISHGAS,706.29,Supplies
2/19/2026,Diageo Ltd,1030.63,
4/13/2026,COCA-COLA EUROPACIFIC,429.43,Soft Drinks
22-4-2026,E.ON,257.41,Alcohol
14/01/2026,The Local Butcher,-558.55,Food
2026-04-25,COCA-COLA EUROPACIFIC,1045.16,Food
11/04/2026,Diageo,984.25,Utilities
2026-03-12,SCOTTISH WATER,721.32,
22-2-2026,BT,1443.47,Alcohol
6-2-2026,Amazon Business,£1477.47,Utilities
6-2-2026,Coca Cola Europacific,£1289.46,Soft Drinks
06/03/2026,BRITISH GAS,747.80,Soft Drinks
4-1-2026,amazon uk,665.64,Food
2026-01-24,sky business,£1218.23,Food
16/01/2026,Diageo,1220.82,Soft Drinks
4/19/2026,Amazon Business,279.23,
1/15/2026,JJ FOOD SERVICE,-1085,27,Supplies
9-4-2026,e.on,606.29,Food
2026-01-04,COCA-COLA EUROPACIFIC,986.81,
3/20/2026,E.ON,£1039.54,
19/01/2026,booker,-1107.58,Supplies
04/03/2026,Brakes,932.27,
18/04/2026,The Local Butcher,£1419.22,Utilities
13-2-2026,Local Bakery,599.34,
06/04/2026,Booker Wholesale,686.85,Utilities
2026-04-21,SCOTTISH WATER,1461.41,Supplies
2026-03-26,scottish water,£114.80,
28/03/2026,coca-cola europacific,1315.44,Supplies
18/02/2026,AMAZON UK,350.21,Food
2/21/2026,E.ON,273.99,Food
2026-03-06,DIAGEO LIMITED,608.13,Food
01/02/2026,Coca Cola,1439.24,Alcohol
2026-01-30,BT,1465.32,Soft Drinks
1/18/2026,E.ON,£791.68,Supplies
11-4-2026,J J Food,1195.71,
14-4-2026,BRITISH GAS,451.94,
13-3-2026,Local Butcher,£589.06,
05/04/2026,Amazon Business,542.41,Food
2026-01-05,Local Butcher,672.42,
24-1-2026,amazon uk,1495.83,Utilities
2/4/2026,BT PLC,492.50,
1/17/2026,Diageo,832.21,Soft Drinks
22-3-2026,BT Business,1143.04,Utilities
2-3-2026,BT Business,450.07,Alcohol
29/01/2026,Brakes,635.52,Utilities
2026-03-21,BT,590.86,
23/02/2026,BOOKER,645.46,Soft Drinks
21-3-2026,Brakes,-254.81,
12-2-2026,BritishGas,1537.74,Alcohol
02/04/2026,SCOTTISH WATER,462.25,Supplies
17-3-2026,E.ON,£249.98,
1/3/2026,coca cola,915.50,Alcohol
2026-04-16,DIAGEO,567.40,Utilities
2026-01-23,Heineken UK,£297.29
29/04/2026,BritishGas,477.40,
1/25/2026,Coca Cola,518,19,
27-1-2026,diageo limited,£991.52
11/01/2026,Coca Cola Europacific,1448.09,Soft Drinks
4-1-2026,cleaning supplies co,£491,88,
22/02/2026,The Local Butcher,-1403.33,Food
2/18/2026,Coca Cola,1006.05,Soft Drinks
2/27/2026,CLEANING SUPPLIES CO,£471.78,
20/01/2026,Bakery Co,£178.62,Food
3/7/2026,Coca Cola,309.65,Alcohol
26/01/2026,Scottish Water,560.21,Supplies
2/18/2026,HEINEKEN,565.06,Supplies
07/01/2026,Heineken UK Ltd,£796.24,Alcohol
2026-01-29,Heineken UK Ltd,£251.57,
2026-03-31,SCOTTISH WATER,1489.95,Soft Drinks
3-1-2026,EON,429.71,Soft Drinks
16/01/2026,BOOKER,-248.98,Food
10-2-2026,JJ Food Service,654.21
02/03/2026,Diageo Ltd,895.56,Alcohol
16-4-2026,BOOKER,533.58,
25/01/2026,sky,354.80,Soft Drinks
01/04/2026,EON Energy,1382.36,Supplies
2/22/2026,Amazon,849.34,Alcohol
1-2-2026,Brakes,-£1414.70,Soft Drinks
3/31/2026,Diageo,-619,22,
05/03/2026,Coca Cola Europacific,166.72,
1/20/2026,heineken uk ltd,1181.07,Alcohol
13/03/2026,BRITISH GAS,1463.35,Soft Drinks
2/3/2026,Cleaning Supplies Co,1345,52,Utilities
3/13/2026,heineken uk,149.97
2/6/2026,BT,869.33,Soft Drinks
2026-01-02,coca cola,685.43,
7-4-2026,BT Business,£1403.39,Soft Drinks
1/14/2026,Diageo,694.49,Supplies
3/26/2026,CleanCo,1156,88,Utilities
2026-03-28,SKY,£624.07,Alcohol
2026-03-10,Coca Cola Europacific,550.67,Food
19/04/2026,Cleaning Supplies Co,917,95,Food
12-4-2026,Amazon Business,£749.38,Supplies
23-3-2026,Local Butcher,1135.28,
2026-04-24,Local Bakery,£379.34,Food
4/18/2026,Coca Cola Europacific,-584.58,Soft Drinks
26-2-2026,AMAZON,£259.84,Food
2026-03-05,Brakes Catering,580.09,Alcohol
2026-01-19,SCOTTISH WATER,534.99,Alcohol
01/01/2026,BOOKER,£486.00,Supplies
29/04/2026,COCA COLA EUROPACIFIC,575.57,Food
04/03/2026,EON Energy,464.38,Food
22-3-2026,BT,493.12,
02/03/2026,amazon,149.38,Alcohol
31/03/2026,BT,£1126.22,
17/04/2026,British Gas,1290.03,Alcohol
2/9/2026,Brakes,551.06,Utilities
13-2-2026,Heineken UK,365.01
5-1-2026,BT BUSINESS,696.36,Soft Drinks
2026-01-10,amazon business,£85.13,Alcohol
30-1-2026,J J Food,1533.31,Food
1/20/2026,CLEANING SUPPLIES CO,440.73,Soft Drinks
2026-01-03,J J Food,£858.13,
23/03/2026,British Gas,£674.16
4-2-2026,AMAZON,362.38,Supplies
2026-03-12,britishgas,704.30,
20/04/2026,CleanCo,529.02,
08/02/2026,BT,-£383.87,Utilities
13-2-2026,CleanCo,£1409.06,Soft Drinks
1/7/2026,BT Business,£185.16,Utilities
1-2-2026,BRAKES UK,146.46,Soft Drinks
1/17/2026,EON Energy,387.04,Soft Drinks
3-3-2026,Coca Cola,-£1221,85,Supplies
2026-02-27,Diageo,63.19,
25-2-2026,E.ON,249.89,Supplies
3/9/2026,SCOTTISH WATER,1139,31,
21/01/2026,BRAKES UK,820.12,Utilities
3-3-2026,booker ltd,113.98,
2026-04-14,DIAGEO LIMITED,605.08,Supplies
2026-01-08,SCOTTISH WATER,1199.15,
3/13/2026,BRITISH GAS,831,07,Supplies
4/18/2026,Cleaning Supplies Co,1448.06,Utilities
2026-03-22,BT BUSINESS,175.02,
1/19/2026,J J Food,149.48,
24-2-2026,BritishGas,856,30,Alcohol
19-2-2026,SCOTTISH WATER,367.26
12-1-2026,brakes,1367.91,
13-1-2026,Amazon,747.05,Alcohol
27/01/2026,SKY BUSINESS,£292.15,
2026-03-26,Sky,1381.03,Supplies
4/26/2026,Amazon Business,£398.20,Food
9-1-2026,EON,456.61,
2026-04-24,cleanco,1078.88,Utilities
15/03/2026,BRITISH GAS,552.57,Alcohol
11-2-2026,local bakery,-£534.00,Alcohol
9-1-2026,Diageo Ltd,716.16,Supplies
23/03/2026,BT PLC,£1244.22,Alcohol
03/04/2026,CleanCo,859.55,Supplies
2026-04-21,BT,352.56,
19/01/2026,Brakes Catering,£293.88,
25-2-2026,SCOTTISH WATER,682.28,
10/04/2026,Cleaning Supplies Co,£832.71,
2026-02-10,Brakes Catering,£1300.71,
2026-01-07,BRITISH GAS,1081.77,Supplies
30/03/2026,Booker Ltd,1078.68,Alcohol
24/03/2026,JJ Food Service,946.50,
